Rep	Trai1	Trait2
rep1	10657.083	1
rep1	9418.493	2
rep1	9068.922	3
rep1	10795.327	4
rep1	12017.72	3
rep1	9712.978	3
rep1	9598.15	5
rep1	8284.571	3
rep1	8146.869	5
rep1	9295.107	3
rep1	13327.448	4
rep1	12576.519	6
rep1	9889.424	7
rep1	9138.515	5
rep1	8484.137	5
rep1	11409.174	3
rep1	8247.7	4
rep1	10370.399	3
rep1	8021.868	3
rep1	8666.693	2
rep2	4286.449	1
rep2	4402.652	2
rep2	4454.641	3
rep2	5246.859	4
rep2	4598.412	3
rep2	5026.812	3
rep2	7081.407	5
rep2	4537.06	3
rep2	4889.772	4
rep2	4423.388	3
rep2	7064.686	5
rep2	7715.701	3
rep2	4265.361	5
rep2	4659.403	3
rep2	4320.277	4
rep2	6208.906	6
rep2	7006.382	7
rep2	7485.371	5
rep2	5000.86	5
rep2	5513.992	3
